Name,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)"
French violet,279.0,94.0,42.0
French wine,344.0,70.0,40.0
Fresh Air,196.0,100.0,83.0
Frostbite,322.0,80.0,56.0
Fuchsia,300.0,100.0,50.0
Fuchsia (Crayola),300.0,47.0,54.0
Fuchsia pink,300.0,100.0,73.0
Fuchsia purple,333.0,59.0,51.0
Fuchsia rose,337.0,54.0,52.0
Fulvous,35.0,100.0,45.0
Fuzzy Wuzzy,0.0,50.0,60.0
Gainsboro,0.0,0.0,86.0
Gamboge,39.0,88.0,48.0
Gamboge orange (brown),40.0,100.0,30.0
Gargoyle Gas,50.0,100.0,64.0
Generic viridian,168.0,100.0,25.0
Ghost white,240.0,100.0,99.0
Giant's Club,6.0,37.0,51.0
Giants orange,16.0,99.0,55.0
Ginger,34.0,100.0,35.0
Glaucous,216.0,37.0,55.0
Glitter,234.0,67.0,94.0
Glossy Grape,285.0,18.0,64.0
GO green,156.0,100.0,34.0
Gold (metallic),46.0,65.0,52.0
Gold (web) (Golden),51.0,100.0,50.0
Gold Fusion,43.0,26.0,41.0
Golden brown,36.0,76.0,34.0
Golden poppy,46.0,100.0,49.0
Golden yellow,52.0,100.0,50.0
Goldenrod,43.0,74.0,49.0
Granite Gray,0.0,0.0,40.0
Granny Smith Apple,113.0,56.0,76.0
Grape,272.0,58.0,42.0
Gray,0.0,0.0,50.0
Gray (HTML/CSS gray),0.0,0.0,50.0
Gray (X11 gray),0.0,0.0,75.0
Gray-asparagus,117.0,13.0,31.0
Gray-blue,229.0,16.0,61.0
Green (Color Wheel) (X11 green),120.0,100.0,50.0
Green (Crayola),158.0,72.0,39.0
Green (HTML/CSS color),120.0,100.0,25.0
Green (Munsell),163.0,100.0,33.0
Green (NCS),160.0,100.0,31.0
Green (Pantone),143.0,100.0,34.0
Green (pigment),149.0,100.0,32.0
Green (RYB),95.0,56.0,44.0
Green-blue,209.0,83.0,39.0
Green-cyan,160.0,100.0,30.0
Green Lizard,84.0,90.0,58.0
Green Sheen,168.0,28.0,56.0
Green-yellow,84.0,100.0,59.0
Grizzly,34.0,70.0,31.0
Grullo,34.0,17.0,59.0
Guppie green,150.0,100.0,50.0
Gunmetal,200.0,15.0,19.0
Halayà úbe,323.0,29.0,31.0
Han blue,223.0,59.0,54.0
Han purple,255.0,96.0,54.0
Hansa yellow,51.0,74.0,67.0
Harlequin,105.0,100.0,50.0
Harlequin green,105.0,79.0,45.0
Harvard crimson,353.0,100.0,39.0
Harvest gold,40.0,100.0,43.0
Heart Gold,60.0,100.0,25.0
Heat Wave,29.0,100.0,50.0
Heidelberg Red[2],10.0,100.0,29.0
Heliotrope,286.0,100.0,73.0
Heliotrope gray,303.0,10.0,63.0
Heliotrope magenta,295.0,100.0,37.0
Hollywood cerise,320.0,100.0,48.0
Honeydew,120.0,100.0,97.0
Honolulu blue,203.0,100.0,35.0
Hooker's green,163.0,25.0,38.0
Hot magenta,313.0,100.0,56.0
Hot pink,330.0,100.0,71.0
