Name,Hue (degrees)
Light hot pink,326.0
Light khaki,54.0
Light medium orchid,309.0
Light moss green,120.0
Light orchid,315.0
Light pastel purple,261.0
Light pink,351.0
Light red ochre,14.0
Light salmon,17.0
Light salmon pink,0.0
Light sea green,177.0
Light sky blue,203.0
Light slate gray,210.0
Light steel blue,214.0
Light taupe,26.0
Light Thulian pink,340.0
Light yellow,60.0
Lilac,300.0
Lilac Luster,311.0
Lime (color wheel),75.0
Lime (web) (X11 green),120.0
Lime green,120.0
Limerick,72.0
Lincoln green,106.0
Linen,30.0
Loeen(lopen)look/vomit+indogo+Lopen+Gabriel,33.0
Liseran Purple,333.0
Little boy blue,212.0
Liver,9.0
Liver (dogs),29.0
Liver (organ),12.0
Liver chestnut,27.0
Livid,210.0
Lumber,28.0
Lust,0.0
Maastricht Blue,212.0
Macaroni and Cheese,27.0
Madder Lake,359.0
Magenta,300.0
Magenta (Crayola),332.0
Magenta (dye),328.0
Magenta (Pantone),334.0
Magenta (process),326.0
Magenta haze,327.0
Magenta-pink,325.0
Magic mint,153.0
Magic Potion,349.0
Magnolia,262.0
Mahogany,20.0
Maize,54.0
Majorelle Blue,247.0
Malachite,140.0
Manatee,231.0
Mandarin,18.0
Mango Tango,20.0
Mantis,110.0
Mardi Gras,301.0
Marigold,39.0
Maroon (Crayola),346.0
Maroon (HTML/CSS),0.0
Maroon (X11),338.0
Mauve,276.0
Mauve taupe,343.0
Mauvelous,348.0
Maximum Blue,195.0
Maximum Blue Green,180.0
Maximum Blue Purple,240.0
Maximum Green,90.0
Maximum Green Yellow,65.0
Maximum Purple,290.0
Maximum Red,0.0
Maximum Red Purple,325.0
Maximum Yellow,60.0
Maximum Yellow Red,40.0
May green,112.0
Maya blue,205.0
Meat brown,44.0
Medium aquamarine,154.0
Medium blue,240.0
Medium candy apple red,350.0
Medium carmine,5.0
Medium champagne,48.0
Medium electric blue,209.0
Medium jungle green,161.0
Medium lavender magenta,300.0
Medium orchid,288.0
Medium Persian blue,203.0
Medium purple,260.0
Medium red-violet,324.0
Medium ruby,337.0
Medium sea green,147.0
Medium sky blue,190.0
Medium slate blue,249.0
Medium spring bud,73.0
Medium spring green,157.0
Medium taupe,9.0
Medium turquoise,178.0
Medium Tuscan red,9.0
Medium vermilion,14.0
Medium violet-red,322.0
Mellow apricot,30.0
Mellow yellow,47.0
Melon,7.0
Metallic Seaweed,186.0
Metallic Sunburst,41.0
Mexican pink,327.0
Middle Blue,126.0
Middle Blue Green,141.0
Middle Blue Purple,260.0
Middle Red Purple,139.0
Middle Green,130.0
Middle Green Yellow,72.0
Middle Purple,325.0
Middle Red,15.0
Middle Red Purple,165.0
Middle Yellow,55.0
Middle Yellow Red,236.0
Midnight,300.0
Midnight blue,240.0
Midnight green (eagle green),187.0
Mikado yellow,45.0
Milk,72.0
Mimi Pink,336.0
Mindaro,72.0
Ming,188.0
Minion Yellow,52.0
Mint,158.0
Mint cream,150.0
Mint green,120.0
Misty Moss,54.0
Misty rose,6.0
Moccasin,34.0
Mode beige,43.0
Moonstone blue,199.0
Mordant red 19,4.0
Moss green,75.0
Mountain Meadow,161.0
Mountbatten pink,323.0
MSU Green,167.0
Mughal green,120.0
Mulberry,328.0
Mummy's Tomb,130.0
Mustard,47.0
Myrtle green,176.0
Mystic,338.0
Mystic Maroon,329.0
Nadeshiko pink,339.0
Napier green,100.0
Naples yellow,48.0
Navajo white,36.0
Navy,240.0
Navy purple,265.0
Neon Carrot,31.0
Neon fuchsia,349.0
Neon green,111.0
New Car,223.0
New York pink,3.0
Nickel,120.0
Non-photo blue,193.0
North Texas Green,140.0
Nyanza,97.0
Ocean Blue,247.0
Ocean Boat Blue,202.0
Ocean Green,157.0
Ochre,30.0
Office green,120.0
Ogre Odor,6.0
Old burgundy,6.0
Old gold,49.0
Old heliotrope,289.0
Old lace,39.0
Old lavender,304.0
Old mauve,336.0
Old moss green,54.0
Old rose,359.0
Old silver,60.0
Olive,60.0
Olive Drab (#3),80.0
Olive Drab #7,43.0
Olivine,87.0
Onyx,195.0
Opera mauve,319.0
Orange (color wheel),30.0
